motorcycle,truck,car,bus,time
13,13,8,5,47.977777777777774
11,11,9,3,39.977777777777774
17,11,10,0,41.977777777777774
11,8,8,0,38.977777777777774
11,4,1,1,47.977777777777774
10,3,1,1,39.977777777777774
8,2,5,0,41.977777777777774
3,0,0,0,38.977777777777774
1,2,4,0,1.9111111111111112
8,4,3,2,47.977777777777774
5,4,5,2,39.977777777777774
12,2,4,1,41.977777777777774
5,1,1,0,38.977777777777774
0,1,2,0,1.9111111111111112
11,8,8,3,47.977777777777774
11,11,6,1,39.977777777777774
9,10,5,0,41.977777777777774
6,8,8,0,38.977777777777774
7,6,10,0,1.9111111111111112
5,10,8,5,47.977777777777774
2,6,11,3,39.977777777777774
9,7,12,0,41.977777777777774
9,9,7,0,38.977777777777774
13,13,8,5,47.68888888888888
11,11,9,3,39.977777777777774
17,11,10,0,41.977777777777774
11,8,8,0,38.977777777777774
12,10,7,4,39.2
9,8,8,2,39.977777777777774
15,10,8,0,41.977777777777774
10,6,5,0,38.977777777777774
14,1,15,2,50.76271186440678
14,11,9,1,25.864406779661017
11,7,10,3,37.77966101694915
24,6,6,1,24.440677966101696
20,6,18,1,58.91525423728814
13,13,8,5,44.68888888888888
11,11,9,3,39.977777777777774
17,11,10,0,41.977777777777774
11,8,8,0,38.977777777777774
5,9,12,0,1.9111111111111112
12,10,7,4,38.82222222222222
9,8,8,2,39.977777777777774
15,10,8,0,41.977777777777774
10,6,5,0,8.977777777777778
5,7,10,0,8.888888888888889
15,10,6,2,39.05084745762712
16,5,20,3,46.25423728813559
19,8,12,0,41.57627118644068
10,7,17,4,39.35593220338983
23,7,7,1,33.11864406779661
4,5,10,0,1.9111111111111112
66,29,5,6,46.91111111111111
60,21,7,7,39.977777777777774
42,15,19,0,41.977777777777774
22,0,2,0,9.533333333333333
48,27,23,8,38.977777777777774
34,23,26,10,39.977777777777774
67,14,22,2,41.977777777777774
75,59,34,21,47.977777777777774
63,64,37,7,39.977777777777774
51,60,34,0,41.977777777777774
40,35,39,0,38.977777777777774
35,59,42,22,47.977777777777774
9,40,70,14,39.977777777777774
56,43,71,0,41.977777777777774
49,47,40,0,38.977777777777774

